Maze Type, Resolution, Solving Time, Short Corridors, Medium Corridors, Long Corridors, Seed
RecursiveDivision,128x128,34,65462,9352,7,0,110388203
RecursiveDivision,128x128,57,85751,9409,9,0,271964678
RecursiveDivision,128x128,33,5598,9448,3,0,614902045
RecursiveDivision,128x128,27,02332,9379,6,0,826664976
RecursiveDivision,128x128,55,70221,9461,5,0,162478209
RecursiveDivision,256x256,203,1021,37487,0,0,762565069
RecursiveDivision,256x256,844,1525,37493,1,0,677030592
RecursiveDivision,256x256,857,9636,37495,2,0,21073165
RecursiveDivision,256x256,343,811,37570,0,0,903549673
RecursiveDivision,256x256,279,7165,37562,1,0,740032076
RecursiveDivision,256x256,365,6177,37594,3,0,582318076
RecursiveDivision,256x256,201,2882,37742,1,0,576923861
RecursiveDivision,256x256,515,8348,37581,4,0,914260947
RecursiveDivision,256x256,236,599,37660,0,0,852827515
RecursiveDivision,256x256,505,5905,37601,2,0,998549258
RecursiveDivision,256x256,830,3394,37603,2,0,213230059
RecursiveDivision,256x256,839,9353,37621,3,0,990958555
RecursiveDivision,256x256,771,3623,37633,2,0,454844152
RecursiveDivision,256x256,483,4156,37634,1,0,564698644
RecursiveDivision,256x256,643,5165,37599,3,0,103747991
RecursiveDivision,256x256,551,9257,37726,0,0,743349655
RecursiveDivision,256x256,480,4153,37635,1,0,501360594
RecursiveDivision,256x256,825,9659,37684,4,0,465742457
RecursiveDivision,256x256,521,5416,37442,1,0,743057061
RecursiveDivision,256x256,398,1285,37579,3,0,426580974
RecursiveDivision,256x256,250,145,37690,2,0,833587477
RecursiveDivision,256x256,323,7915,37478,1,0,959285779
RecursiveDivision,256x256,437,1643,37731,5,0,29167659
RecursiveDivision,256x256,799,1066,37647,3,0,786226321
RecursiveDivision,256x256,758,3275,37513,3,1,958228344
RecursiveDivision,256x256,238,7085,37846,1,0,935036766
RecursiveDivision,256x256,1033,47,37824,0,0,715443847
RecursiveDivision,256x256,898,262,37679,1,0,141797577
RecursiveDivision,256x256,267,849,37777,3,0,574253072
RecursiveDivision,256x256,232,7805,37806,0,0,437448587
RecursiveDivision,256x256,374,8436,37761,1,0,128860709
RecursiveDivision,256x256,195,6329,37742,2,0,630751394
RecursiveDivision,256x256,563,7589,37735,2,0,265773368
RecursiveDivision,256x256,350,6126,37710,0,0,425342182
RecursiveDivision,256x256,705,0095,37722,2,0,896076715
RecursiveDivision,256x256,462,9326,37526,0,0,177046613
RecursiveDivision,256x256,237,7281,37958,2,0,345418694
RecursiveDivision,256x256,1042,774,37624,2,0,418929261
RecursiveDivision,256x256,884,3689,37855,3,0,742866523
RecursiveDivision,256x256,554,4319,37664,3,0,184457431
RecursiveDivision,256x256,626,3085,37603,0,1,229119963
RecursiveDivision,256x256,843,4868,37813,2,0,931290460
RecursiveDivision,256x256,253,9749,37752,0,0,92481703
RecursiveDivision,256x256,273,262,37678,0,0,246253333
RecursiveDivision,256x256,99,74289,37834,1,0,657065804
RecursiveDivision,256x256,208,6716,37639,3,1,902016299
RecursiveDivision,256x256,315,67,37838,1,0,943932914
RecursiveDivision,256x256,389,0991,37679,1,0,729855421
RecursiveDivision,256x256,733,059,37760,1,0,796087266
RecursiveDivision,256x256,188,7436,37664,1,0,321656660
RecursiveDivision,256x256,99,49112,37496,5,0,760785549
RecursiveDivision,256x256,555,2979,37842,2,0,196320775
RecursiveDivision,256x256,246,7537,37766,2,0,260126408
RecursiveDivision,256x256,199,4095,37641,1,0,58380214
RecursiveDivision,256x256,991,8213,37553,1,0,633042195
RecursiveDivision,256x256,452,4002,37659,1,0,742589860
RecursiveDivision,256x256,473,9952,37778,2,0,512246131
RecursiveDivision,256x256,623,0507,37606,0,0,539285464
RecursiveDivision,256x256,730,835,37836,0,0,912571739
RecursiveDivision,256x256,543,1176,37784,4,0,66759253
RecursiveDivision,256x256,343,3456,37720,2,0,189618743
RecursiveDivision,256x256,258,1978,37552,3,0,551468458
RecursiveDivision,256x256,283,2527,37818,2,0,794409796
RecursiveDivision,256x256,135,437,37624,1,0,988693211
RecursiveDivision,256x256,516,2391,37565,0,0,609440581
RecursiveDivision,256x256,623,4741,37471,2,0,433196158
RecursiveDivision,256x256,208,8203,37614,3,0,572899070
RecursiveDivision,256x256,832,9353,37626,1,0,150467751
RecursiveDivision,256x256,240,9515,37586,4,0,222991095
RecursiveDivision,256x256,913,6696,37558,1,0,874621881
RecursiveDivision,256x256,848,9342,37312,4,0,134415623
RecursiveDivision,256x256,598,8159,37662,2,0,533695628
RecursiveDivision,256x256,532,2647,37787,1,0,574422352
RecursiveDivision,256x256,479,2137,37721,2,0,957867927
RecursiveDivision,256x256,529,0451,37639,2,0,825915903
RecursiveDivision,256x256,423,5878,37674,4,0,35869226
RecursiveDivision,256x256,240,8638,37468,2,0,190107486
RecursiveDivision,256x256,689,5065,37635,1,0,869060008
RecursiveDivision,256x256,200,47,37618,3,0,336555684
